
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2016-04-01;30.707,16;3335187188377;32.179,47;2968085257536;32.090,06;4394770714648;30.636,59;1019549060748;31.061,85;501587985657;30.622,20;4339670053795
2016-04-02;30.707,16;3335187188377;32.179,47;2968085257536;32.090,06;4394770714648;30.636,59;1019549060748;31.061,85;501587985657;30.622,20;4339670053795
2016-04-03;30.707,16;3335187188377;32.179,47;2968085257536;32.090,06;4394770714648;30.636,59;1019549060748;31.061,85;501587985657;30.622,20;4339670053795
2016-04-04;30.678,38;3330658930185;32.142,14;2963270297490;32.040,13;4386085987426;30.599,64;1018732794136;31.024,44;500977707522;30.601,25;4335940299064
2016-04-05;30.662,43;3328564341739;32.116,52;2961060319995;32.019,24;4382882177857;30.583,41;1018352293369;30.993,94;500502649458;30.576,30;4332048181192
2016-04-06;30.594,44;3320996724012;32.050,94;2953709309205;31.950,45;4372034253579;30.494,93;1015172842918;30.918,26;500754327854;30.512,63;4322347988942
2016-04-07;30.678,00;3329804034189;32.145,24;2961734577566;32.038,18;4384008927801;30.600,09;1018849213056;31.019,37;502566647011;30.606,76;4335363634563
2016-04-08;30.697,65;3331913854792;32.172,58;2964287423228;32.065,88;4387698556246;30.611,44;1019504116323;31.032,54;502924427717;30.614,14;4336659845816
2016-04-09;30.697,65;3331913854792;32.172,58;2964287423228;32.065,88;4387698556246;30.611,44;1019504116323;31.032,54;502924427717;30.614,14;4336659845816
2016-04-10;30.697,65;3331913854792;32.172,58;2964287423228;32.065,88;4387698556246;30.611,44;1019504116323;31.032,54;502924427717;30.614,14;4336659845816
2016-04-11;30.874,53;3351825337928;32.354,00;2981359277812;32.251,43;4412190404095;30.806,31;1026734050575;31.227,13;506378405955;30.797,08;4362705267167
2016-04-12;30.915,11;3356579116218;32.389,66;2986167625756;32.299,43;4418952660840;30.846,54;1031003764522;31.255,92;507569740869;30.834,85;4370258802603
2016-04-13;30.844,88;3351593216994;32.315,93;2982518968532;32.223,97;4412773813470;30.783,78;1036432637158;31.189,01;510151299743;30.760,08;4364999415863
2016-04-14;31.043,00;3379604401013;32.515,28;3001787101537;32.422,94;4448345436019;30.998,13;1048230548443;31.394,75;515402066381;30.944,02;4399438073482
2016-04-15;31.037,96;3374021912550;32.508,87;3000068552888;32.420,02;4447167843093;30.977,38;1050838250804;31.380,50;515084262784;30.933,93;4390495009160
2016-04-16;31.037,96;3374021912550;32.508,87;3000068552888;32.420,02;4447167843093;30.977,38;1050838250804;31.380,50;515084262784;30.933,93;4390495009160
2016-04-17;31.037,96;3374021912550;32.508,87;3000068552888;32.420,02;4447167843093;30.977,38;1050838250804;31.380,50;515084262784;30.933,93;4390495009160
2016-04-18;30.953,36;3365941024295;32.427,90;2992923181644;32.341,39;4436292774616;30.899,86;1048452997602;31.301,09;514937222082;30.853,93;4378784775373
2016-04-19;31.000,34;3370299041186;32.481,16;2997947529887;32.397,91;4443937616509;30.940,48;1049974354723;31.341,72;515631981439;30.906,83;4386103812151
2016-04-20;30.988,34;3368348355637;32.452,87;2995503484354;32.375,25;4441071103499;30.929,55;1049693999397;31.331,22;515763956505;30.875,63;4380860049347
2016-04-21;31.042,60;3373259723820;32.521,37;2999861252640;32.433,83;4448320899514;30.989,39;1051910676360;31.392,99;516644368822;30.938,32;4389864912565
2016-04-22;31.026,59;3370802550170;32.509,04;2998104589447;32.430,80;4447390079803;30.981,36;1051767217224;31.382,15;516525634389;30.917,14;4386561281980
2016-04-23;31.026,59;3370802550170;32.509,04;2998104589447;32.430,80;4447390079803;30.981,36;1051767217224;31.382,15;516525634389;30.917,14;4386561281980
2016-04-24;31.026,59;3370802550170;32.509,04;2998104589447;32.430,80;4447390079803;30.981,36;1051767217224;31.382,15;516525634389;30.917,14;4386561281980
2016-04-25;31.125,67;3381470958361;32.622,45;3009189138545;32.543,24;4461309029572;31.080,08;1055192925621;31.483,15;518315725484;31.008,59;4399211183995
2016-04-26;31.088,37;3376334357599;32.579,47;3004338301388;32.502,39;4454419299614;31.050,36;1054423882324;31.438,63;517487740175;30.973,65;4393893735844
2016-04-27;31.144,25;3382367017516;32.631,97;3008531085880;32.554,27;4461027005415;31.097,72;1056153055863;31.488,97;518200497566;31.019,33;4400091154922
2016-04-28;31.171,04;3384474458370;32.654,21;3008853301472;32.579,80;4464191397871;31.131,18;1057358806876;31.493,35;518378343486;31.033,81;4402108137686
2016-04-29;30.984,69;3362826024799;32.462,35;2995177361071;32.398,60;4431059367400;30.953,78;1050987582444;31.293,25;514859935181;30.853,61;4365043061489
2016-04-30;30.984,69;3362826024799;32.462,35;2995177361071;32.398,60;4431059367400;30.953,78;1050987582444;31.293,25;514859935181;30.853,61;4365043061489
2016-05-01;30.984,69;3362826024799;32.462,35;2995177361071;32.398,60;4431059367400;30.953,78;1050987582444;31.293,25;514859935181;30.853,61;4365043061489
2016-05-02;30.844,20;3338768464110;32.309,53;2980947804979;32.248,39;4405474683877;30.798,20;1045140998776;31.143,97;510706070135;30.713,71;4336354570182
2016-05-03;30.888,19;3343173879859;32.367,72;2984526346947;32.301,07;4413368181160;30.843,86;1046945412661;31.207,69;511885135105;30.764,91;4343194675442
2016-05-04;30.894,51;3342976925616;32.397,17;2985793772851;32.320,96;4415282138213;30.861,28;1047748407198;31.218,40;513868019347;30.780,88;4344923931436
2016-05-05;30.871,34;3337492359528;32.372,69;2977007470313;32.302,98;4406959631699;30.843,58;1046999086708;31.183,19;513244804990;30.766,96;4341798816400
2016-05-06;30.791,00;3322775621644;32.292,33;2959253351836;32.223,50;4388449401845;30.761,14;1043893627719;31.104,27;511654578692;30.698,70;4329631561872
2016-05-07;30.791,00;3322775621644;32.292,33;2959253351836;32.223,50;4388449401845;30.761,14;1043893627719;31.104,27;511654578692;30.698,70;4329631561872
2016-05-08;30.791,00;3322775621644;32.292,33;2959253351836;32.223,50;4388449401845;30.761,14;1043893627719;31.104,27;511654578692;30.698,70;4329631561872
2016-05-09;30.759,28;3316779483030;32.262,81;2952057590723;32.191,99;4377707312192;30.741,39;1043706638759;31.080,36;511298169888;30.677,41;4324908469314
2016-05-10;30.850,48;3324322281430;32.366,80;2957114125628;32.289,85;4387506590021;30.836,48;1047566557223;31.178,89;513268770729;30.780,09;4338004243656
2016-05-11;31.119,45;3353525348792;32.652,47;2981953599746;32.572,48;4426401085953;31.129,01;1059752431213;31.466,92;518881089481;31.056,14;4378201000058
2016-05-12;31.139,66;3357761975063;32.661,33;2984274945468;32.584,17;4430055435056;31.138,34;1067260237206;31.462,25;521025868126;31.051,29;4381917407993
2016-05-13;31.226,71;3371092603750;32.753,26;2991903752841;32.678,10;4446786887767;31.220,04;1072401273091;31.555,22;525057296984;31.148,58;4400687090880
2016-05-14;31.226,71;3371092603750;32.753,26;2991903752841;32.678,10;4446786887767;31.220,04;1072401273091;31.555,22;525057296984;31.148,58;4400687090880
