
Fecha;ALAMEDA;;CONCORDIA;;CUPRUM;;EL LIBERTADOR;;HABITAT;;INVIERTA;;PLANVITAL;;PROVIDA;;SAN CRISTOBAL;;SANTA MARIA;;SUMMA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
1981-08-16;109,54;48140506;109,13;8346430;105,07;36291412;106,60;23374175;104,83;268172842;108,25;102767201;106,86;75454710;107,38;869144579;106,02;222034911;105,34;675837277;106,66;111376193
1981-08-17;110,00;48341290;109,63;8384576;105,78;36539779;107,04;23469028;105,24;268172842;108,76;103251370;107,38;75822337;107,80;872517646;106,47;222971014;105,60;677419931;107,13;111871828
1981-08-18;110,18;48420949;109,80;8397448;105,93;36588540;107,21;23506409;105,36;268172842;108,92;103403266;107,54;75934200;107,94;873613836;106,59;223238144;105,69;677921373;107,29;112039661
1981-08-19;110,34;48488414;110,13;8350899;106,44;36765737;107,36;23539513;105,54;268172842;109,07;103545669;107,70;76046193;108,06;874647132;106,73;223530004;105,77;679153356;107,44;112193778
1981-08-20;110,41;81965132;110,23;14254832;106,32;58753648;107,36;41860809;105,62;423632832;109,12;171001654;107,80;121670202;108,15;1405978772;106,77;332122785;106,08;975323638;107,49;179589955
1981-08-21;110,50;82032990;110,45;14283451;106,49;58851469;107,52;41920915;105,68;423632832;109,44;171503125;107,91;121796739;108,24;1407107868;106,88;332474323;106,16;976064590;107,59;179760501
1981-08-22;110,50;82032990;110,45;14283451;106,49;58851469;107,52;41920915;105,68;423632832;109,44;171503125;107,91;121796739;108,24;1407107868;106,88;332474323;106,16;976064590;107,59;179760501
1981-08-23;110,50;82032990;110,45;14283451;106,49;58851469;107,52;41920915;105,68;423632832;109,44;171503125;107,91;121796739;108,24;1407107868;106,88;332474323;106,16;976064590;107,59;179760501
1981-08-24;110,78;82236253;110,74;14440774;106,81;59043968;107,75;42011320;105,94;423633404;109,78;172388200;108,22;122140820;108,49;1410412374;107,15;333321679;106,40;978284382;107,87;180227874
1981-08-25;110,87;82304304;110,84;14453344;106,90;59089824;107,85;42050702;106,00;423852540;109,91;172757791;108,32;122254125;108,60;1411795189;107,25;333850934;106,51;979260983;107,97;180556771
1981-08-26;110,96;82372396;110,92;14464163;106,98;59136706;107,92;42075935;106,08;423852540;110,01;172914972;108,42;122367525;108,68;1412874239;107,33;334125012;106,60;980100767;108,05;180685774
1981-08-27;111,05;82440757;111,07;14483770;107,07;59187449;108,05;42126157;106,19;423852540;110,05;172977845;108,52;122480969;108,76;1413977085;107,44;334462870;106,71;981075631;108,18;180909260
1981-08-28;111,14;82509137;111,08;14484688;107,16;59235109;108,19;42182966;106,28;423852540;110,46;173622287;108,62;122593737;108,85;1415094617;107,61;334988249;106,81;1106527343;108,29;182106615
1981-08-29;111,14;82509137;111,08;14484688;107,16;59235109;108,19;42182966;106,28;423852540;110,46;173622287;108,62;122593737;108,85;1415094617;107,61;334988249;106,81;1106527343;108,29;182106615
1981-08-30;111,14;82509137;111,08;14484688;107,16;59235109;108,19;42182966;106,28;423852540;110,46;173622287;108,62;122593737;108,85;1415094617;107,61;334988249;106,81;1106527343;108,29;182106615
1981-08-31;111,37;84783864;111,37;14597092;107,41;59281338;108,35;41726782;106,51;433363542;110,69;172052364;108,92;120456303;109,10;1421241379;107,84;360748622;107,03;1108804850;108,55;178766569

Fecha;ALAMEDA;;CONCORDIA;;CUPRUM;;EL LIBERTADOR;;HABITAT;;INVIERTA;;MAGISTER;;PLANVITAL;;PROVIDA;;SAN CRISTOBAL;;SANTA MARIA;;SUMMA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
1981-09-01;111,44;84842668;111,46;14608261;107,51;59333565;108,51;41789689;106,60;433363542;110,84;172285518;200,00;0;109,02;120567046;109,19;1422365725;107,93;361073748;107,12;1108275016;108,65;178930926
1981-09-02;111,52;84903343;111,55;14620851;107,65;59409788;108,71;41866748;106,69;433363542;110,93;172425411;200,00;0;109,12;120677791;109,27;1424605352;108,03;361384671;107,20;1110410815;108,79;179160678
1981-09-03;111,60;84962393;111,75;14646522;107,78;59485593;108,80;41900547;106,76;433363542;111,07;172643022;200,00;0;109,22;120789029;109,40;1426294632;108,11;361626009;107,29;1111245132;108,91;179364289
1981-09-04;111,67;85452088;111,84;14659127;107,86;59530171;108,92;41946276;106,92;433363542;111,15;172767371;200,00;0;109,32;120900441;109,49;1427404411;108,29;362223859;107,42;1112632405;109,02;179535107
1981-09-05;111,67;85452088;111,84;14659127;107,86;59530171;108,92;41946276;106,92;433363542;111,15;172767371;200,00;0;109,32;120900441;109,49;1427404411;108,29;362223859;107,42;1112632405;109,02;179535107
1981-09-06;111,67;85452088;111,84;14659127;107,86;59530171;108,92;41946276;106,92;433363542;111,15;172767371;200,00;0;109,32;120900441;109,49;1427404411;108,29;362223859;107,42;1112632405;109,02;179535107
1981-09-07;111,90;85629163;112,35;14725759;108,12;59673155;109,13;42029181;107,19;433978836;111,43;173202592;200,00;0;109,62;121228121;109,74;1441764541;108,53;362332476;107,66;1115133924;109,29;179993811
1981-09-08;111,97;85680856;112,45;14757384;108,21;59721439;109,23;42067370;107,27;432495381;111,52;173342485;200,00;0;109,72;121337681;109,83;1442885308;108,61;362499940;107,74;1115990025;109,39;180146913
1981-09-09;112,00;85704681;112,55;14771006;108,33;59786549;109,32;42100896;107,34;432495381;111,59;173451290;200,00;0;109,86;121495421;109,91;1443994414;108,68;362385299;107,84;1117042400;109,48;180306019
1981-09-10;112,12;84830065;112,70;14867260;108,46;59627560;109,47;42278529;107,46;434795432;111,74;179025945;200,00;0;109,96;121820978;109,94;1432472851;108,80;363594938;107,94;1123971390;109,59;181014456
1981-09-11;112,12;84830065;112,70;14867260;108,46;59627560;109,47;42278529;107,46;434795432;111,74;179025945;200,00;0;109,96;121820978;109,94;1432472851;108,80;363594938;107,94;1123971390;109,59;181014456
1981-09-12;112,12;84830065;112,70;14867260;108,46;59627560;109,47;42278529;107,46;434795432;111,74;179025945;200,00;0;109,96;121820978;109,94;1432472851;108,80;363594938;107,94;1123971390;109,59;181014456
1981-09-13;112,12;84830065;112,70;14867260;108,46;59627560;109,47;42278529;107,46;434795432;111,74;179025945;200,00;0;109,96;121820978;109,94;1432472851;108,80;363594938;107,94;1123971390;109,59;181014456
1981-09-14;112,35;86016251;113,08;15363572;108,88;60229324;109,85;42129644;107,80;434897507;112,37;180885068;200,00;0;110,43;122335719;110,28;1436987335;109,10;364608790;108,31;1127759660;109,99;181674104
