
Fecha;APORTA;;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2007-05-30;18.810,69;66606712583;18.782,38;136366282018;16.421,56;197350402966;30.733,11;22602269230;17.603,24;224768543005;17.308,38;72711368524
2007-05-31;18.759,01;66314277170;18.733,84;135743266752;16.334,46;196318755149;30.679,74;22579447720;17.543,81;221304592195;17.276,16;72568880889
2007-06-01;18.769,21;66338765667;18.734,15;135766996289;16.334,05;195698624492;30.688,01;22527249333;17.544,53;218034397936;17.277,04;72154524257
2007-06-02;18.769,21;66338765667;18.734,15;135766996289;16.334,05;195698624492;30.688,01;22527249333;17.544,53;218034397936;17.277,04;72154524257
2007-06-03;18.769,21;66338765667;18.734,15;135766996289;16.334,05;195698624492;30.688,01;22527249333;17.544,53;218034397936;17.277,04;72154524257
2007-06-04;18.796,79;66430291251;18.752,66;135666978392;16.346,37;195140851626;30.718,79;22553098482;17.561,56;217876079015;17.291,45;71942602225
2007-06-05;18.817,95;66068787406;18.761,99;135428196890;16.362,32;195059200843;30.751,80;22319891045;17.568,40;214780061937;17.307,28;72005705660
2007-06-06;18.809,76;65898225026;18.755,41;135361783392;16.361,49;195033725554;30.737,00;22309450127;17.565,73;214064426470;17.301,40;71954265658
2007-06-07;18.808,48;65786285427;18.757,39;134971214099;16.368,59;194249515455;30.752,69;22241069601;17.566,56;212726592173;17.306,02;71913291949
2007-06-08;18.796,96;65823152463;18.745,66;134670093835;16.357,36;193698289284;30.732,99;22215204039;17.548,62;214845076136;17.296,04;71871289207
2007-06-09;18.796,96;65823152463;18.745,66;134670093835;16.357,36;193698289284;30.732,99;22215204039;17.548,62;214845076136;17.296,04;71871289207
2007-06-10;18.796,96;65823152463;18.745,66;134670093835;16.357,36;193698289284;30.732,99;22215204039;17.548,62;214845076136;17.296,04;71871289207
2007-06-11;18.811,94;65997869420;18.758,76;134643989426;16.357,01;193658788760;30.760,08;22166308854;17.559,82;221757872187;17.303,78;71521854375
2007-06-12;18.817,84;65815514125;18.759,79;134373208166;16.355,78;192662587852;30.776,13;22144146557;17.564,83;223942354267;17.316,80;71582914553
2007-06-13;18.795,63;65581914910;18.702,01;133790251578;16.346,30;192619451309;30.703,77;21924406573;17.537,25;221606979109;17.273,38;71410193937
2007-06-14;18.784,84;65419175604;18.690,14;133479390096;16.330,31;192270690585;30.684,13;21892173177;17.529,46;214246430960;17.267,41;71479425976
2007-06-15;18.721,27;64592908709;18.632,28;132318859426;16.250,88;191315569695;30.614,25;21743361213;17.460,91;213020249453;17.209,76;71160522149
2007-06-16;18.721,27;64592908709;18.632,28;132318859426;16.250,88;191315569695;30.614,25;21743361213;17.460,91;213020249453;17.209,76;71160522149
2007-06-17;18.721,27;64592908709;18.632,28;132318859426;16.250,88;191315569695;30.614,25;21743361213;17.460,91;213020249453;17.209,76;71160522149
2007-06-18;18.740,11;64463943865;18.650,57;132556637227;16.262,64;191332591833;30.638,85;21758211574;17.472,88;211751262040;17.225,64;71075182780
2007-06-19;18.736,53;64453873463;18.659,50;132526963011;16.268,73;191120615367;30.647,16;21805952479;17.477,94;210994724870;17.230,59;71096647384
2007-06-20;18.751,87;64517837679;18.671,31;132246175115;16.268,37;191211951057;30.676,88;21835813448;17.492,77;210928278665;17.232,00;71153680277
