
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2016-02-26;31.679,37;7521968207399;37.138,55;7279080741922;35.860,87;10370809472318;35.116,49;524791554221;64.542,36;1246790866593;31.608,62;12080333688169
2016-02-27;31.679,37;7521968207399;37.138,55;7279080741922;35.860,87;10370809472318;35.116,49;524791554221;64.542,36;1246790866593;31.608,62;12080333688169
2016-02-28;31.679,37;7521968207399;37.138,55;7279080741922;35.860,87;10370809472318;35.116,49;524791554221;64.542,36;1246790866593;31.608,62;12080333688169
2016-02-29;31.726,39;7553723040749;37.200,16;7378709220948;35.933,40;10504165567345;35.159,90;532213296903;64.634,45;1252501233969;31.659,88;12097808455677
2016-03-01;31.755,18;7563461641560;37.249,88;7414584601734;35.987,06;10555303390209;35.214,52;539948442859;64.719,20;1254050346138;31.711,17;12115740778918
2016-03-02;31.970,85;7622243236114;37.486,34;7482067979727;36.216,88;10638996313694;35.464,41;545756194878;65.138,14;1263241808598;31.918,98;12198280445976
2016-03-03;31.990,04;7626133669616;37.526,75;7490544785492;36.273,98;10657079517927;35.507,28;546949773652;65.226,52;1267695106171;31.941,82;12205888543384
2016-03-04;32.075,49;7646945701925;37.611,91;7510916063549;36.365,23;10693414541036;35.599,31;548652725956;65.392,78;1270698662688;32.035,99;12241597353069
2016-03-05;32.075,49;7646945701925;37.611,91;7510916063549;36.365,23;10693414541036;35.599,31;548652725956;65.392,78;1270698662688;32.035,99;12241597353069
2016-03-06;32.075,49;7646945701925;37.611,91;7510916063549;36.365,23;10693414541036;35.599,31;548652725956;65.392,78;1270698662688;32.035,99;12241597353069
2016-03-07;32.104,09;7652015166624;37.638,14;7516518620414;36.404,02;10702843617195;35.626,11;549238507788;65.447,90;1271564726128;32.063,69;12251624000677
2016-03-08;32.106,51;7651216173797;37.651,77;7518971044046;36.424,75;10709795549648;35.631,18;549572106665;65.452,78;1271590327409;32.063,82;12250962328845
2016-03-09;32.037,69;7633967079459;37.558,47;7498888845600;36.330,14;10681922889732;35.535,81;548398718518;65.292,47;1268570233325;31.983,53;12220381759439
2016-03-10;31.980,80;7621366524359;37.479,08;7481513306584;36.262,76;10661630314167;35.482,11;547879136012;65.171,74;1266069181898;31.938,49;12203086617338
2016-03-11;32.021,44;7630880290189;37.523,51;7490919285522;36.298,27;10669747646100;35.517,39;549469692348;65.252,55;1268032429175;31.973,08;12216101337248
2016-03-12;32.021,44;7630880290189;37.523,51;7490919285522;36.298,27;10669747646100;35.517,39;549469692348;65.252,55;1268032429175;31.973,08;12216101337248
2016-03-13;32.021,44;7630880290189;37.523,51;7490919285522;36.298,27;10669747646100;35.517,39;549469692348;65.252,55;1268032429175;31.973,08;12216101337248
2016-03-14;32.276,72;7694601762152;37.860,42;7560501186053;36.637,29;10773492339682;35.828,18;556564485194;65.817,11;1280118236945;32.244,94;12329306680112
2016-03-15;32.334,37;7711462675490;37.926,58;7573468506471;36.712,52;10815964241239;35.910,14;563277385496;65.968,77;1282923218508;32.306,20;12355818972405
2016-03-16;32.322,92;7710841170937;37.910,90;7571976699698;36.698,38;10812341456236;35.878,42;563049361425;65.909,73;1282546254698;32.290,31;12351013517447
2016-03-17;32.370,47;7722124176373;37.980,55;7584521110899;36.749,98;10825031262450;35.945,11;563293530258;65.969,39;1286350280691;32.330,50;12364355795527
2016-03-18;32.204,33;7682449143803;37.800,21;7546657983909;36.576,05;10774391304726;35.791,29;561155414501;65.703,26;1280032384484;32.182,83;12308182073671
2016-03-19;32.204,33;7682449143803;37.800,21;7546657983909;36.576,05;10774391304726;35.791,29;561155414501;65.703,26;1280032384484;32.182,83;12308182073671
2016-03-20;32.204,33;7682449143803;37.800,21;7546657983909;36.576,05;10774391304726;35.791,29;561155414501;65.703,26;1280032384484;32.182,83;12308182073671
2016-03-21;32.316,87;7708060929900;37.936,97;7572169580244;36.712,13;10813952337213;35.915,45;562896817882;65.941,05;1284473807861;32.298,86;12351445674455
2016-03-22;32.465,63;7740658588776;38.106,59;7604330438157;36.897,83;10868680470123;36.067,34;565768335296;66.226,25;1290118305008;32.451,23;12410815722905
2016-03-23;32.452,62;7737816765180;38.089,32;7600575121071;36.871,77;10866064770067;36.048,89;565512903674;66.189,46;1289356162966;32.427,12;12399633140363
2016-03-24;32.379,75;7719593120025;37.998,87;7583512470468;36.779,55;10837171138915;35.951,10;563746516869;66.018,30;1285896642709;32.345,72;12367542322990
2016-03-25;32.379,75;7719593120025;37.998,87;7583512470468;36.779,55;10837171138915;35.951,10;563746516869;66.018,30;1285896642709;32.345,72;12367542322990
2016-03-26;32.379,75;7719593120025;37.998,87;7583512470468;36.779,55;10837171138915;35.951,10;563746516869;66.018,30;1285896642709;32.345,72;12367542322990
2016-03-27;32.379,75;7719593120025;37.998,87;7583512470468;36.779,55;10837171138915;35.951,10;563746516869;66.018,30;1285896642709;32.345,72;12367542322990
2016-03-28;32.424,02;7729829265714;38.045,42;7595000783276;36.833,47;10854140015516;35.993,44;564084298836;66.104,82;1287292835225;32.394,54;12386825265444
2016-03-29;32.393,69;7723058932507;38.006,64;7585845135193;36.797,29;10841661510999;35.971,70;563627500993;66.055,29;1286350995011;32.374,26;12377164004241
2016-03-30;32.511,37;7749170241214;38.171,86;7618096660556;36.939,56;10883427120978;36.126,67;565800434724;66.270,59;1290266784326;32.504,34;12425865252712
2016-03-31;32.477,58;7718877141556;38.132,65;7597542060245;36.907,73;10854375670302;36.090,80;565932620380;66.229,29;1286142370073;32.490,45;12391993797554
2016-04-01;32.399,06;7688859359373;38.028,35;7576298747057;36.801,99;10829370766282;35.983,45;568543184176;66.044,18;1278926819226;32.387,16;12342279582165
2016-04-02;32.399,06;7688859359373;38.028,35;7576298747057;36.801,99;10829370766282;35.983,45;568543184176;66.044,18;1278926819226;32.387,16;12342279582165
2016-04-03;32.399,06;7688859359373;38.028,35;7576298747057;36.801,99;10829370766282;35.983,45;568543184176;66.044,18;1278926819226;32.387,16;12342279582165
2016-04-04;32.382,74;7684109950338;37.998,16;7569892850877;36.763,22;10817586464398;35.961,91;568527118104;65.985,99;1277619674323;32.380,30;12338525990588
2016-04-05;32.379,00;7681612997390;37.986,23;7564538870046;36.749,77;10813054907588;35.958,83;568309046143;65.961,68;1276456761211;32.366,78;12331845061278
2016-04-06;32.349,34;7673024611989;37.952,31;7557425168365;36.720,57;10805370281560;35.904,16;567105709245;65.867,70;1278065879584;32.339,42;12320844198101
2016-04-07;32.397,92;7684235049597;38.016,30;7572316786609;36.769,96;10819856759639;35.977,72;568554765808;65.990,39;1280528718669;32.397,13;12343768641904
2016-04-08;32.441,58;7695045707621;38.071,46;7583056793120;36.824,27;10837832902925;36.013,00;569085191978;66.055,08;1282023287507;32.414,38;12350504223015
2016-04-09;32.441,58;7695045707621;38.071,46;7583056793120;36.824,27;10837832902925;36.013,00;569085191978;66.055,08;1282023287507;32.414,38;12350504223015
2016-04-10;32.441,58;7695045707621;38.071,46;7583056793120;36.824,27;10837832902925;36.013,00;569085191978;66.055,08;1282023287507;32.414,38;12350504223015
2016-04-11;32.570,19;7725978872692;38.218,02;7607534511239;36.977,16;10881205384299;36.167,52;571644835381;66.352,56;1287742114206;32.556,32;12403676803219
2016-04-12;32.614,01;7737625122037;38.256,16;7619746064525;37.019,03;10890665321859;36.209,72;573229537810;66.397,30;1288571612839;32.595,36;12420359711563
2016-04-13;32.536,97;7720987349784;38.168,82;7609905523773;36.932,14;10870798244285;36.139,30;574445723982;66.263,59;1288183893562;32.514,74;12398527142169
2016-04-14;32.670,92;7762029040315;38.319,32;7646016297695;37.080,98;10928715919286;36.307,59;578127815088;66.585,13;1295609382055;32.638,03;12458249375277
2016-04-15;32.666,81;7760351386217;38.314,53;7650880029702;37.081,68;10947628471106;36.286,31;584554447319;66.570,06;1292991310500;32.630,58;12446899615797
2016-04-16;32.666,81;7760351386217;38.314,53;7650880029702;37.081,68;10947628471106;36.286,31;584554447319;66.570,06;1292991310500;32.630,58;12446899615797
2016-04-17;32.666,81;7760351386217;38.314,53;7650880029702;37.081,68;10947628471106;36.286,31;584554447319;66.570,06;1292991310500;32.630,58;12446899615797
2016-04-18;32.608,95;7748155598340;38.255,56;7639169010962;37.030,81;10936094493345;36.227,10;583553197317;66.462,12;1294101364951;32.575,27;12425869989747
2016-04-19;32.642,74;7753809674559;38.298,52;7648755361460;37.076,34;10948344109229;36.258,52;583314059393;66.505,39;1294928394704;32.615,76;12442441107530
2016-04-20;32.635,55;7751389327614;38.281,84;7645251048648;37.057,07;10941769406595;36.248,96;583126022930;66.506,76;1295005100856;32.585,56;12430473137150
2016-04-21;32.686,65;7762838092646;38.349,94;7659406186541;37.123,37;10961454737055;36.312,89;583569210772;66.625,00;1297071431443;32.646,52;12451663002741
2016-04-22;32.663,28;7757497756094;38.327,21;7655921267167;37.124,21;10964878430029;36.302,92;583463686076;66.607,64;1296828625699;32.611,88;12438263867040
2016-04-23;32.663,28;7757497756094;38.327,21;7655921267167;37.124,21;10964878430029;36.302,92;583463686076;66.607,64;1296828625699;32.611,88;12438263867040
2016-04-24;32.663,28;7757497756094;38.327,21;7655921267167;37.124,21;10964878430029;36.302,92;583463686076;66.607,64;1296828625699;32.611,88;12438263867040
2016-04-25;32.733,51;7774702432088;38.411,80;7675297792557;37.214,66;10991137133520;36.376,85;584742886102;66.728,29;1299507134936;32.670,59;12460180217394
2016-04-26;32.710,04;7769432871225;38.385,46;7669874104172;37.182,12;10981535487614;36.365,39;584617440350;66.662,42;1297768150301;32.647,01;12450290612185
2016-04-27;32.744,79;7779526147821;38.422,60;7677965187381;37.221,02;10995590701728;36.395,99;584940409494;66.729,48;1298859441490;32.675,75;12460430642737
2016-04-28;32.770,00;7784165875163;38.449,98;7684807549500;37.247,07;11004066835995;36.436,46;585687674268;66.743,72;1299341735196;32.689,89;12466566523801
2016-04-29;32.628,41;7732803205400;38.291,89;7645004951833;37.109,89;10947551292212;36.299,33;583532086443;66.450,18;1290284631732;32.554,28;12390381962692
2016-04-30;32.628,41;7732803205400;38.291,89;7645004951833;37.109,89;10947551292212;36.299,33;583532086443;66.450,18;1290284631732;32.554,28;12390381962692
2016-05-01;32.628,41;7732803205400;38.291,89;7645004951833;37.109,89;10947551292212;36.299,33;583532086443;66.450,18;1290284631732;32.554,28;12390381962692
2016-05-02;32.543,05;7707452254127;38.188,42;7630879826413;37.018,15;10928792794791;36.199,71;587560875150;66.275,93;1283350548770;32.471,79;12350042263102
2016-05-03;32.588,34;7717758215422;38.250,52;7643410086225;37.071,23;10945552207377;36.248,24;588646457597;66.392,08;1285789635781;32.526,35;12370768832910
2016-05-04;32.618,14;7724023771641;38.310,40;7654022090888;37.115,18;10958782107834;36.290,88;589728949119;66.457,49;1290807100828;32.560,40;12382384299353
2016-05-05;32.606,27;7681658775096;38.297,71;7551550616452;37.110,28;10782963337120;36.285,06;582214232971;66.416,00;1283625517488;32.560,23;12360109327455
2016-05-06;32.535,81;7609956057339;38.212,63;7391226099850;37.031,26;10578344977430;36.203,60;571115148032;66.275,38;1272451765652;32.497,02;12302724780674
2016-05-07;32.535,81;7609956057339;38.212,63;7391226099850;37.031,26;10578344977430;36.203,60;571115148032;66.275,38;1272451765652;32.497,02;12302724780674
2016-05-08;32.535,81;7609956057339;38.212,63;7391226099850;37.031,26;10578344977430;36.203,60;571115148032;66.275,38;1272451765652;32.497,02;12302724780674
