
Fecha;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2014-12-10;26.360,63;3507686118333;27.787,61;2644940094571;27.785,16;3729844845818;26.495,46;132698181532;25.955,46;595020202261;26.249,59;5173908138563
2014-12-11;26.307,05;3500474697891;27.741,20;2640225116790;27.743,17;3723160762578;26.440,47;132576557843;25.906,23;594095429527;26.187,60;5161725535359
2014-12-12;26.293,99;3490734054096;27.738,13;2637459941841;27.743,98;3724489548381;26.400,38;132803478131;25.890,65;591642556999;26.205,50;5161599605778
2014-12-13;26.293,99;3490734054096;27.738,13;2637459941841;27.743,98;3724489548381;26.400,38;132803478131;25.890,65;591642556999;26.205,50;5161599605778
2014-12-14;26.293,99;3490734054096;27.738,13;2637459941841;27.743,98;3724489548381;26.400,38;132803478131;25.890,65;591642556999;26.205,50;5161599605778
2014-12-15;26.258,70;3489389156895;27.700,65;2632338590573;27.718,24;3724115904917;26.368,51;132823852788;25.852,55;591329269093;26.161,89;5151928001269
2014-12-16;26.188,97;3479657973685;27.628,38;2627750134067;27.644,86;3714011888615;26.287,24;132317651293;25.778,91;589285583523;26.074,89;5135271519387
2014-12-17;26.137,50;3472812753958;27.597,96;2626652209290;27.587,09;3708864912777;26.225,72;132655105678;25.735,15;589178751476;26.018,16;5116515826945
2014-12-18;26.162,80;3477123432885;27.622,04;2627587990274;27.597,68;3709747523641;26.263,83;132854647113;25.753,71;589355617035;26.057,13;5126537779064
2014-12-19;26.243,99;3486358272230;27.699,86;2634630379461;27.687,85;3719830847153;26.341,77;133258357957;25.822,33;590938631252;26.148,99;5144573091935
2014-12-20;26.243,99;3486358272230;27.699,86;2634630379461;27.687,85;3719830847153;26.341,77;133258357957;25.822,33;590938631252;26.148,99;5144573091935
2014-12-21;26.243,99;3486358272230;27.699,86;2634630379461;27.687,85;3719830847153;26.341,77;133258357957;25.822,33;590938631252;26.148,99;5144573091935
2014-12-22;26.272,07;3488267157139;27.722,55;2639670711937;27.719,92;3726635640932;26.388,58;133715077654;25.844,63;591978094240;26.169,85;5147438374659
2014-12-23;26.297,51;3491742555157;27.750,55;2640658492631;27.741,46;3729875663854;26.414,31;133956513730;25.862,27;592311832301;26.198,69;5154872501233
2014-12-24;26.284,11;3488699055285;27.735,39;2632187802701;27.744,20;3728499651765;26.405,02;133899005401;25.854,02;592083749250;26.189,03;5150723347809
2014-12-25;26.284,11;3488699055285;27.735,39;2632187802701;27.744,20;3728499651765;26.405,02;133899005401;25.854,02;592083749250;26.189,03;5150723347809
2014-12-26;26.294,66;3489069867653;27.743,94;2633603818289;27.747,18;3727424500841;26.418,76;134047827427;25.861,75;592135826257;26.200,98;5153022224320
2014-12-27;26.294,66;3489069867653;27.743,94;2633603818289;27.747,18;3727424500841;26.418,76;134047827427;25.861,75;592135826257;26.200,98;5153022224320
2014-12-28;26.294,66;3489069867653;27.743,94;2633603818289;27.747,18;3727424500841;26.418,76;134047827427;25.861,75;592135826257;26.200,98;5153022224320
2014-12-29;26.301,04;3490057101108;27.731,76;2633152775663;27.745,93;3727942611616;26.420,33;133998265498;25.869,20;592758510747;26.216,00;5155574579193
2014-12-30;26.307,72;3519212776854;27.735,92;2640688031194;27.759,67;3759172284242;26.435,22;134102315079;25.874,48;597492519607;26.204,63;5201083735102
2014-12-31;26.320,14;3520961377565;27.749,61;2642365136440;27.770,27;3758885617637;26.429,47;134083952540;25.890,76;597908068747;26.238,97;5207670212277

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
